year,all_offenses,drug_offenses,marijuana
1997,547550,153099,14498
1998,508257,141766,14344
1999,467936,133437,14171
2000,459632,128142,13067
2001,472677,124726,11986
2002,487364,131306,12682
2003,507081,140744,13022
2004,522781,150305,13106
2005,538166,159944,13075
2006,534460,154468,13548
2007,523276,143692,16124
2008,499628,129080,17126
2009,466441,118684,17008
2010,448552,121286,16585
2011,419914,115332,14092
2012,429807,120995,13434
2013,442741,137125,13779
2014,439958,137054,13300
2015,314748,44629,8866
2016,308860,38988,7949
2017,306024,29955,2086
2018,302514,28376,1617
2019,293509,27280,1181
2020,273542,25771,1027
